Date,Close
1/2/2023,-5.29
1/3/2023,-15.76
1/4/2023,-11.23
1/5/2023,-24.06
1/6/2023,-22.98
1/9/2023,-27.01
1/10/2023,-40.27
1/11/2023,-40.05
1/12/2023,-53.92
1/13/2023,-55.91
1/16/2023,-68.82
1/17/2023,-81.1
1/18/2023,-83.36
1/19/2023,-73.56
1/20/2023,-84.84
1/23/2023,-93.14
1/24/2023,-89.32
1/25/2023,-75.89
1/26/2023,-73.58
1/27/2023,-76.68
1/30/2023,-62.39
1/31/2023,-75.99
2/1/2023,-65.24
2/2/2023,-71.55
2/3/2023,-82.22
2/6/2023,-93.69
2/7/2023,-99.43
2/8/2023,-89.95
2/9/2023,-99.53
2/10/2023,-97.08
2/13/2023,-92.91
2/14/2023,-96.74
2/15/2023,-95.31
2/16/2023,-100
2/17/2023,-100
2/20/2023,-100
2/21/2023,-94.59
2/22/2023,-96.76
2/23/2023,-100
2/24/2023,-97.43
2/27/2023,-98.84
2/28/2023,-100
3/1/2023,-91.17
3/2/2023,-85.2
3/3/2023,-92.88
3/6/2023,-90.64
3/7/2023,-89.89
3/8/2023,-78.63
3/9/2023,-71.75
3/10/2023,-78.11
3/13/2023,-63.71
3/14/2023,-75.16
3/15/2023,-77.62
3/16/2023,-69.91
3/17/2023,-80.35
3/20/2023,-80.68
3/21/2023,-94.5
3/22/2023,-89.46
3/23/2023,-81.52
3/24/2023,-79.33
3/27/2023,-68.06
3/28/2023,-73.65
3/29/2023,-67.79
3/30/2023,-64.96
3/31/2023,-62.56
4/3/2023,-63.88
4/4/2023,-53.68
4/5/2023,-40.34
4/6/2023,-41.12
4/7/2023,-36.19
4/10/2023,-49.37
4/11/2023,-43.33
4/12/2023,-38.91
4/13/2023,-24.12
4/14/2023,-14.46
4/17/2023,-20.92
4/18/2023,-24.35
4/19/2023,-19.29
4/20/2023,-33.61
4/21/2023,-34.76
4/24/2023,-44.72
4/25/2023,-56.21
4/26/2023,-69.44
4/27/2023,-61.39
4/28/2023,-72.51
5/1/2023,-80.08
5/2/2023,-83.36
5/3/2023,-72.21
5/4/2023,-84.8
5/5/2023,-86.32
5/8/2023,-84.84
5/9/2023,-73.34
5/10/2023,-63.76
5/11/2023,-52.84
5/12/2023,-59.48
5/15/2023,-62.03
5/16/2023,-66.26
5/17/2023,-54.74
5/18/2023,-41.0
5/19/2023,-51.48
5/22/2023,-61.19
5/23/2023,-69.23
5/24/2023,-77.23
5/25/2023,-77.68
5/26/2023,-75.01
5/29/2023,-82.13
5/30/2023,-97.0
5/31/2023,-99.44
6/1/2023,-100
6/2/2023,-98.01
6/5/2023,-84.42
6/6/2023,-78.7
6/7/2023,-78.24
6/8/2023,-74.71
6/9/2023,-69.42
6/12/2023,-82.8
6/13/2023,-70.82
6/14/2023,-62.42
6/15/2023,-51.18
6/16/2023,-42.25
6/19/2023,-45.48
6/20/2023,-48.51
6/21/2023,-60.4
6/22/2023,-56.37
6/23/2023,-69.5
6/26/2023,-82.48
6/27/2023,-91.22
6/28/2023,-100
6/29/2023,-100
6/30/2023,-100
7/3/2023,-100
7/4/2023,-100
7/5/2023,-100
7/6/2023,-100
7/7/2023,-100
7/10/2023,-88.77
7/11/2023,-85.35
7/12/2023,-95.89
7/13/2023,-100
7/14/2023,-100
7/17/2023,-100
7/18/2023,-100
7/19/2023,-89.53
7/20/2023,-74.74
7/21/2023,-75.76
7/24/2023,-76.24
7/25/2023,-88.67
7/26/2023,-100
7/27/2023,-100
7/28/2023,-100
7/31/2023,-90.13
8/1/2023,-100
8/2/2023,-100
8/3/2023,-86.47
8/4/2023,-85.62
8/7/2023,-96.22
8/8/2023,-94.93
8/9/2023,-100
8/10/2023,-99.16
8/11/2023,-84.8
8/14/2023,-73.9
8/15/2023,-68.02
8/16/2023,-75.18
8/17/2023,-79.18
8/18/2023,-89.17
8/21/2023,-81.01
8/22/2023,-80.03
8/23/2023,-71.66
8/24/2023,-76.77
8/25/2023,-85.08
8/28/2023,-75.74
8/29/2023,-61.19
8/30/2023,-50.61
8/31/2023,-41.43
9/1/2023,-31.88
9/4/2023,-24.68
9/5/2023,-32.88
9/6/2023,-32.35
9/7/2023,-36.68
9/8/2023,-50.81
9/11/2023,-64.98
9/12/2023,-71.59
9/13/2023,-78.82
9/14/2023,-73.04
9/15/2023,-59.35
9/18/2023,-60.93
9/19/2023,-47.82
9/20/2023,-33.18
9/21/2023,-19.53
9/22/2023,-23.59
9/25/2023,-31.97
9/26/2023,-40.17
9/27/2023,-49.27
9/28/2023,-58.14
9/29/2023,-54.42
10/2/2023,-42.41
10/3/2023,-32.19
10/4/2023,-32.81
10/5/2023,-28.22
10/6/2023,-19.23
10/9/2023,-31.69
10/10/2023,-26.87
10/11/2023,-14.58
10/12/2023,-6.11
10/13/2023,1.4
10/16/2023,0.74
10/17/2023,-8.91
10/18/2023,-0.23
10/19/2023,-5.26
10/20/2023,3.77
10/23/2023,17.92
10/24/2023,14.79
10/25/2023,11.84
10/26/2023,25.24
10/27/2023,31.98
10/30/2023,22.08
10/31/2023,10.89
11/1/2023,0.43
11/2/2023,12.57
11/3/2023,21.77
11/6/2023,11.15
11/7/2023,20.95
11/8/2023,35.36
11/9/2023,40.08
11/10/2023,35.59
11/13/2023,37.05
11/14/2023,25.98
11/15/2023,11.41
11/16/2023,25.53
11/17/2023,30.02
11/20/2023,30.82
11/21/2023,43.83
11/22/2023,41.84
11/23/2023,53.0
11/24/2023,62.78
11/27/2023,54.11
11/28/2023,46.67
11/29/2023,40.46
11/30/2023,32.67
12/1/2023,35.26
12/4/2023,28.05
12/5/2023,25.62
12/6/2023,14.55
12/7/2023,26.85
12/8/2023,22.46
12/11/2023,21.21
12/12/2023,23.71
12/13/2023,35.84
12/14/2023,33.46
12/15/2023,45.99
12/18/2023,46.04
12/19/2023,46.99
12/20/2023,47.7
12/21/2023,33.26
12/22/2023,31.46
12/25/2023,21.95
12/26/2023,7.07
12/27/2023,16.05
12/28/2023,6.22
12/29/2023,5.42
1/1/2024,12.18
1/2/2024,13.87
1/3/2024,8.65
1/4/2024,9.2
1/5/2024,10.87
1/8/2024,19.39
1/9/2024,7.58
1/10/2024,9.39
1/11/2024,1.84
1/12/2024,-4.85
1/15/2024,3.32
1/16/2024,3.55
1/17/2024,5.4
1/18/2024,13.2
1/19/2024,25.57
1/22/2024,23.87
1/23/2024,27.25
1/24/2024,27.41
1/25/2024,27.78
1/26/2024,33.56
1/29/2024,32.13
1/30/2024,33.13
1/31/2024,32.47
2/1/2024,45.72
2/2/2024,51.69
2/5/2024,62.99
2/6/2024,76.25
2/7/2024,69.04
2/8/2024,70.83
2/9/2024,84.13
2/12/2024,94.33
2/13/2024,83.44
